what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395374662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395374879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395375062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395380075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1423395383419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395397448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395399953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395405846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395411191
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423395422348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395423955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395424168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395430015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395438415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395441875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395450261
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1423395455847
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1423395460769
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1423395461449
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1423395461665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395465181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395465982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395474180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395480684
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.override.methods",1423395480885
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1423395485384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395486960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395487488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395490833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423395492084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395492764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395493376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395499384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395503671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395504610
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1423395517904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395526049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395533963
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1423395536529
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1423395537324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395538755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395543877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395548864
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1423395555746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395557677
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423395561634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395562676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395562854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395567007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395567739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395574253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395578376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395584296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395589770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395594337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395595509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1423395597342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423395599176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423395599757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396445966
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1423396456834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396462516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396464222
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1423396467360
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423396473274
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423396485801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396490863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396493831
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1423396493831
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423396495751
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423396496463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396500126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396500388
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423396502199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396503714
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1423396504382
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1423396504400
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1423396504793
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1423396504814
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1423396504891
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1423396504914
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1423396504914
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1423396505071
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1423396505091
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1423396505162
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1423396505198
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1423396505275
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1423396505297
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1423396505394
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1423396505467
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1423396505680
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1423396505996
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1423396506179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396506423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423396506445
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423396508717
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1423396513145
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423396514891
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1423396517722
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1423396517772
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1423396517826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396517910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423396518659
